STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,TRANSACTION,Transaction,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,CIVIL_STATUS,Civil status,HOUSEHOLD_TYPE,Household type,INCOME_PRINCIPAL,Earnings of the principal,INCOME_SPOUSE,Earnings of the spouse,LEVEL,Level,TAX_BASE,Tax base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,ISR,Israel,A,Annual,_Z,Not applicable,PIT_R_TH,Personal marginal income tax rate at top tax rate earnings threshold,PT_WG_EARN_G,Percentage of gross wage earnings,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,50,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,ISR,Israel,A,Annual,_Z,Not applicable,TS_PIT,Top statutory personal income tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,50,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,ISR,Israel,A,Annual,_Z,Not applicable,PIT_SSC_R_TH,Personal marginal income tax and employee social security contribution rate at top statutory tax rate earnings threshold,PT_WG_EARN_G,Percentage of gross wage earnings,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,50,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,SVN,Slovenia,A,Annual,_Z,Not applicable,TS_PIT,Top statutory personal income tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,50,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,AUS,Australia,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,1.74835,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,AUT,Austria,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,17.439889,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,BEL,Belgium,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,1.02899,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,CAN,Canada,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,2.754178,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,CHL,Chile,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,18.576002,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,COL,Colombia,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,51.543977,,1,One,A,Normal value,0,Units
